"username","system_name","role_id","role_name","role_type","menu_permission_id"
AkapongJ,Reference Price System,13,Role supply chain,Specific,"11011001"
AkapongJ,Reference Price System,13,Role supply chain,Specific,"11011003"
AmintaT,APP System,3,Procurement Officer,Specific,"11011001"
AmintaT,APP System,3,Procurement Officer,Specific,"11011003"
AmintaT,APP System,3,Procurement Officer,Specific,"11011005"
AmintaT,APP System,3,Procurement Officer,Specific,"11011007"
AmintaT,APP System,3,Procurement Officer,Specific,"11012001"
AmintaT,APP System,3,Procurement Officer,Specific,"11012002"
AmintaT,APP System,3,Procurement Officer,Specific,"11013001"
AmintaT,APP System,3,Procurement Officer,Specific,"11013003"
AmintaT,APP System,3,Procurement Officer,Specific,"11013005"
AmintaT,APP System,3,Procurement Officer,Specific,"11013007"
AmintaT,APP System,3,Procurement Officer,Specific,"11014001"
AmintaT,APP System,3,Procurement Officer,Specific,"11014005"
AmintaT,APP System,3,Procurement Officer,Specific,"21011001"
AmintaT,APP System,3,Procurement Officer,Specific,"21011003"
AmintaT,APP System,3,Procurement Officer,Specific,"21011005"
AmintaT,APP System,3,Procurement Officer,Specific,"21012002"
AmintaT,APP System,3,Procurement Officer,Specific,"21012011"
AmintaT,APP System,3,Procurement Officer,Specific,"21012012"
AmintaT,APP System,3,Procurement Officer,Specific,"21014001"
AmintaT,APP System,3,Procurement Officer,Specific,"21014002"
AmintaT,APP System,3,Procurement Officer,Specific,"21014003"
AmintaT,APP System,3,Procurement Officer,Specific,"21014005"
AmintaT,APP System,3,Procurement Officer,Specific,"21014008"
AmintaT,APP System,3,Procurement Officer,Specific,"22021001"
AmintaT,APP System,3,Procurement Officer,Specific,"22021005"
AmintaT,APP System,3,Procurement Officer,Specific,"22022001"
AmintaT,APP System,3,Procurement Officer,Specific,"22022005"
AmintaT,APP System,3,Procurement Officer,Specific,"22023001"
AmintaT,APP System,3,Procurement Officer,Specific,"22023005"
AmintaT,APP System,3,Procurement Officer,Specific,"22024001"
AmintaT,APP System,3,Procurement Officer,Specific,"22024005"
AmintaT,APP System,3,Procurement Officer,Specific,"22025001"
AmintaT,APP System,3,Procurement Officer,Specific,"22025005"
AmintaT,APP System,3,Procurement Officer,Specific,"30100101"
AmintaT,APP System,3,Procurement Officer,Specific,"30100202"
AmintaT,APP System,3,Procurement Officer,Specific,"30200202"
AmintaT,APP System,3,Procurement Officer,Specific,"30300301"
AmintaT,APP System,3,Procurement Officer,Specific,"30300303"
AmintaT,APP System,3,Procurement Officer,Specific,"30300304"
AmintaT,APP System,3,Procurement Officer,Specific,"30300305"
